,matchReport_link,home_team,away_team,competition,home_score,away_score,home_xG,away_xG,home_manager,away_manager,home_captain,away_captain,venue_date,venue_time,attandance,venue,referee,first_assistant_referee,second_assistant_referee,fourth_referee,video_assistant_referee
22,https://fbref.com/en/matches/dd50a429/Brighton-and-Hove-Albion-Arsenal-December-31-2022-Premier-League,Brighton & Hove Albion,Arsenal,Premier League,2,4,1.2,2.9,Roberto De Zerbi,Mikel Arteta,Lewis Dunk,Martin Ødegaard,2022-12-31,17:30,"31,647","The American Express Community Stadium, Brighton & Hove",Anthony Taylor,Gary Beswick,Adam Nunn,Jarred Gillett,Paul Tierney
23,https://fbref.com/en/matches/ceebd643/Arsenal-Newcastle-United-January-3-2023-Premier-League,Arsenal,Newcastle United,Premier League,0,0,1.1,1.0,Mikel Arteta,Eddie Howe,Martin Ødegaard,Kieran Trippier,2023-01-03,19:45,"60,319","Emirates Stadium, London",Andy Madley,Lee Betts,Ian Hussin,Jarred Gillett,Stuart Attwell
24,https://fbref.com/en/matches/17eee5ca/Oxford-United-Arsenal-January-9-2023-FA-Cup,Oxford United,Arsenal,FA Cup,0,3,,,Karl Robinson,Mikel Arteta,Elliott Moore,Rob Holding,2023-01-09,20:00,"11,538","The Kassam Stadium, Oxford",David Coote,Lee Betts,Tim Wood,Michael Salisbury,
25,https://fbref.com/en/matches/4fc8b7b2/North-London-Derby-Tottenham-Hotspur-Arsenal-January-15-2023-Premier-League,Tottenham Hotspur,Arsenal,Premier League,0,2,1.6,1.8,Antonio Conte,Mikel Arteta,Hugo Lloris,Martin Ødegaard,2023-01-15,16:30,"61,870","Tottenham Hotspur Stadium, London",Craig Pawson,Marc Perry,Scott Ledger,Darren England,Paul Tierney
26,https://fbref.com/en/matches/1b35bc71/Arsenal-Manchester-United-January-22-2023-Premier-League,Arsenal,Manchester United,Premier League,3,2,3.1,0.4,Mikel Arteta,Erik ten Hag,Martin Ødegaard,Bruno Fernandes,2023-01-22,16:30,"60,325","Emirates Stadium, London",Anthony Taylor,Gary Beswick,Adam Nunn,Andre Marriner,Michael Salisbury
27,https://fbref.com/en/matches/eeefddca/Manchester-City-Arsenal-January-27-2023-FA-Cup,Manchester City,Arsenal,FA Cup,1,0,,,Pep Guardiola,Mikel Arteta,İlkay Gündoğan,Granit Xhaka,2023-01-27,20:00,"51,589","Etihad Stadium, Manchester",Paul Tierney,Constantine Hatzidakis,Neil Davies,Robert Jones,John Brooks
28,https://fbref.com/en/matches/07fc721a/Everton-Arsenal-February-4-2023-Premier-League,Everton,Arsenal,Premier League,1,0,1.7,0.9,Sean Dyche,Mikel Arteta,Séamus Coleman,Martin Ødegaard,2023-02-04,12:30,"39,314","Goodison Park, Liverpool",David Coote,Lee Betts,Mark Scholes,Andy Madley,John Brooks
29,https://fbref.com/en/matches/7caa56bc/Arsenal-Brentford-February-11-2023-Premier-League,Arsenal,Brentford,Premier League,1,1,1.6,2.0,Mikel Arteta,Thomas Frank,Martin Ødegaard,Christian Nørgaard,2023-02-11,15:00,"60,254","Emirates Stadium, London",Peter Bankes,Eddie Smart,Nick Greenhalgh,Simon Hooper,Lee Mason
30,https://fbref.com/en/matches/b9da01e6/Arsenal-Manchester-City-February-15-2023-Premier-League,Arsenal,Manchester City,Premier League,1,3,1.6,1.7,Mikel Arteta,Pep Guardiola,Martin Ødegaard,İlkay Gündoğan,2023-02-15,19:30,"60,276","Emirates Stadium, London",Anthony Taylor,Gary Beswick,Adam Nunn,Darren England,David Coote
31,https://fbref.com/en/matches/e50bfcf8/Aston-Villa-Arsenal-February-18-2023-Premier-League,Aston Villa,Prev Match,Ollie Watkins,2,4,0.5,3.0,Unai Emery,Mikel Arteta,John McGinn,Martin Ødegaard,2023-02-18,12:30,"42,066","Villa Park, Birmingham",Simon Hooper,James Mainwaring,Mark Scholes,John Brooks,Stuart Attwell
